TEAM_NAME,W,L,SEASON
ATL,29,53,2018-19
BOS,49,33,2018-19
BKN,42,40,2018-19
CHA,39,43,2018-19
CHI,22,60,2018-19
CLE,19,63,2018-19
DAL,33,49,2018-19
DEN,54,28,2018-19
DET,41,41,2018-19
GSW,57,25,2018-19
HOU,53,29,2018-19
IND,48,34,2018-19
LAC,48,34,2018-19
LAL,37,45,2018-19
MEM,33,49,2018-19
MIA,39,43,2018-19
MIL,60,22,2018-19
MIN,36,46,2018-19
NOP,33,49,2018-19
NYK,17,65,2018-19
OKC,49,33,2018-19
ORL,42,40,2018-19
PHI,51,31,2018-19
PHX,19,63,2018-19
POR,53,29,2018-19
SAC,39,43,2018-19
SAS,48,34,2018-19
TOR,58,24,2018-19
UTA,50,32,2018-19
WAS,32,50,2018-19
ATL,20,47,2019-20
BOS,48,24,2019-20
BKN,35,37,2019-20
CHA,23,42,2019-20
CHI,22,43,2019-20
CLE,19,46,2019-20
DAL,43,32,2019-20
DEN,46,27,2019-20
DET,20,46,2019-20
GSW,15,50,2019-20
HOU,44,28,2019-20
IND,45,28,2019-20
LAC,49,23,2019-20
LAL,52,19,2019-20
MEM,34,39,2019-20
MIA,44,29,2019-20
MIL,56,17,2019-20
MIN,19,45,2019-20
NOP,30,42,2019-20
NYK,21,45,2019-20
OKC,44,28,2019-20
ORL,33,40,2019-20
PHI,43,30,2019-20
PHX,34,39,2019-20
POR,35,39,2019-20
SAC,31,41,2019-20
SAS,32,39,2019-20
TOR,53,19,2019-20
UTA,44,28,2019-20
WAS,25,47,2019-20
ATL,41,31,2020-21
BOS,36,36,2020-21
BKN,48,24,2020-21
CHA,33,39,2020-21
CHI,31,41,2020-21
CLE,22,50,2020-21
DAL,42,30,2020-21
DEN,47,25,2020-21
DET,20,52,2020-21
GSW,39,33,2020-21
HOU,17,55,2020-21
IND,34,38,2020-21
LAC,47,25,2020-21
LAL,42,30,2020-21
MEM,38,34,2020-21
MIA,40,32,2020-21
MIL,46,26,2020-21
MIN,23,49,2020-21
NOP,31,41,2020-21
NYK,41,31,2020-21
OKC,22,50,2020-21
ORL,21,51,2020-21
PHI,49,23,2020-21
PHX,51,21,2020-21
POR,42,30,2020-21
SAC,31,41,2020-21
SAS,33,39,2020-21
TOR,27,45,2020-21
UTA,52,20,2020-21
WAS,34,38,2020-21
ATL,43,39,2021-22
BOS,51,31,2021-22
BKN,44,38,2021-22
CHA,43,39,2021-22
CHI,46,36,2021-22
CLE,44,38,2021-22
DAL,52,30,2021-22
DEN,48,34,2021-22
DET,23,59,2021-22
GSW,53,29,2021-22
HOU,20,62,2021-22
IND,25,57,2021-22
LAC,42,40,2021-22
LAL,33,49,2021-22
MEM,56,26,2021-22
MIA,53,29,2021-22
MIL,51,31,2021-22
MIN,46,36,2021-22
NOP,36,46,2021-22
NYK,37,45,2021-22
OKC,24,58,2021-22
ORL,22,60,2021-22
PHI,51,31,2021-22
PHX,64,18,2021-22
POR,27,55,2021-22
SAC,30,52,2021-22
SAS,34,48,2021-22
TOR,48,34,2021-22
UTA,49,33,2021-22
WAS,35,47,2021-22
ATL,41,41,2022-23
BOS,57,25,2022-23
BKN,45,37,2022-23
CHA,27,55,2022-23
CHI,40,42,2022-23
CLE,51,31,2022-23
DAL,38,44,2022-23
DEN,53,29,2022-23
DET,17,65,2022-23
GSW,44,38,2022-23
HOU,22,60,2022-23
IND,35,47,2022-23
LAC,44,38,2022-23
LAL,43,39,2022-23
MEM,51,31,2022-23
MIA,44,38,2022-23
MIL,58,24,2022-23
MIN,42,40,2022-23
NOP,42,40,2022-23
NYK,47,35,2022-23
OKC,40,42,2022-23
ORL,34,48,2022-23
PHI,54,28,2022-23
PHX,45,37,2022-23
POR,33,49,2022-23
SAC,48,34,2022-23
SAS,22,60,2022-23
TOR,41,41,2022-23
UTA,37,45,2022-23
WAS,35,47,2022-23
ATL,26,32,2023-24
BOS,46,12,2023-24
BKN,22,36,2023-24
CHA,15,43,2023-24
CHI,27,31,2023-24
CLE,38,19,2023-24
DAL,33,25,2023-24
DEN,39,19,2023-24
DET,9,49,2023-24
GSW,30,27,2023-24
HOU,25,33,2023-24
IND,33,26,2023-24
LAC,37,19,2023-24
LAL,31,28,2023-24
MEM,20,38,2023-24
MIA,33,25,2023-24
MIL,38,21,2023-24
MIN,41,17,2023-24
NOP,35,24,2023-24
NYK,35,24,2023-24
OKC,41,17,2023-24
ORL,33,26,2023-24
PHI,33,25,2023-24
PHX,34,24,2023-24
POR,15,42,2023-24
SAC,33,24,2023-24
SAS,11,48,2023-24
TOR,22,36,2023-24
UTA,27,32,2023-24
WAS,9,49,2023-24
